Name,ID_SRC,RA_CORR,DEC_CORR,RADEC_ERR_CORR,EXT,EXT_ERR,EXT_LIKE,ML_CTS,ML_CTS_ERR,ML_RATE,ML_RATE_ERR,ML_FLUX,ML_FLUX_ERR,DET_LIKE,ML_BKG,ML_EXP,inArea90,F_CONT_BEST_COMB,Z_BEST_COMB,SIGMA_Z_BEST_COMB,LAMBDA_BEST_COMB,ELAMBDA_BEST_COMB,SURV_BEST_COMB,RA_OPTCEN_BEST_COMB,DEC_OPTCEN_BEST_COMB,SPEC_Z_BEST_COMB,N_SPEC,MASSPROX_BEST_COMB,F_CONT_2BEST_COMB,Z_2BEST_COMB,LAMBDA_2BEST_COMB,ELAMBDA_2BEST_COMB,SIGMA_Z_2BEST_COMB,SURV_2BEST_COMB,MASSPROX_2BEST_COMB,FLAG_OPTICAL_X_POS,MASKFRAC_3_FOOT,MASKFRAC_3_FLAGGED,MASKFRAC_R500_FOOT_BEST_COMB,MASKFRAC_R500_FLAGGED_BEST_COMB,MASKFRAC_R500_FOOT_2BEST_COMB,MASKFRAC_R500_FLAGGED_2BEST_COMB,RA_GDMAP_2BEST_COMB,DEC_GDMAP_2BEST_COMB,Alpha,Delta,Beta,Ellip,Centershift,DIST_NEXT_OPT_R500,DISTNEXT_XCLUST_MPC,DISTNEXT_XCLUST_R500,MCMF_NWAY_SECTOR
eFEDS J083153.6+012531,2600,127.97336088473477,1.4252588642845447,4.0,48.598396,5.249486,48.434357,295.27466,34.2398,0.24638571,0.028570678,2.3243937E-13,2.6953473E-14,94.53107,6.4423523,1198.4244,true,0.009118,0.289137,0.008880040969825812,22.333476,4.953076,1,127.969970703125,1.4314780235290527,0.269320011138916,1.0,2.510585768224354,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.0012575156288221478,0.01857717468450682,0.02087435219925766,1.0,1.0,-99.9000015258789,-99.9,0.0753436085173235,0.19744680992497754,0.44100292493872156,0.741393,0.2677137217346142,99.900002,10.202069795671838,10.332294082298036,A
eFEDS J093531.5+022711,2609,143.88107313915225,2.4529526078125965,5.534319585035952,24.142971,4.1707244,36.641926,152.21352,17.682667,0.12850833,0.014928832,1.2123428E-13,1.4083804E-14,95.29183,7.162958,1184.4642,true,0.034131,0.22323,0.00897593032496628,13.59894,3.928149,1,143.87489318847656,2.4552979469299316,0.2250293791294098,1.0,1.381686050934414,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.0,0.0,0.0,1.0,1.0,-99.9000015258789,-99.9,0.1664036773478001,0.2488037576143648,0.23947234304444798,0.36552799999999996,0.2541622116467349,11.239085,12.024560141053328,14.534387217296347,A
eFEDS J092739.8-010428,2636,141.91579885514136,-1.0743056279345957,4.0,48.53554,7.2944145,34.80612,218.40042,29.75554,0.18506978,0.025214473,1.7459414E-13,2.378724E-14,47.33722,13.3387785,1180.0977,true,0.0,0.33092,0.006724269472444602,48.548629,7.73216,1,141.91307067871094,-1.080788016319275,0.3294900059700012,3.0,2.4067137616015377,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.0,0.0,0.0,1.0,1.0,-99.9000015258789,-99.9,0.15874666290033537,0.20301379100076095,0.22705527924991942,0.342303,0.27468202691199317,3.214453,6.01585048883945,6.269177282387815,A
eFEDS J083125.9+015533,2659,127.85804170868691,1.925897930055847,4.0,27.367672,3.7966592,47.5197,164.3058,19.965454,0.15226552,0.018502392,1.4364672E-13,1.7455087E-14,110.47081,6.379352,1079.0742,true,0.006603,0.68448,0.011468857643671632,61.580217,8.91221,1,127.85398864746094,1.9227393865585327,-1.0,0.0,4.539002496487387,0.0141,0.43509,27.007829,5.673694,0.011031480946239142,1,2.9666083504204437,4,0.07733721286058426,0.07733721286058426,0.09126157397321781,0.09126157397321781,0.07964741812279572,0.07964741812279572,127.836696,1.957038,0.1196293974643964,0.3078341520820056,0.297470955476242,0.645131,0.31914603752152765,6.232355,22.152390814125873,21.286419526386258,A
eFEDS J090723.9-011210,2680,136.84942588555214,-1.2028720963578552,9.26242634697587,27.894232,3.8830204,32.52281,213.92297,22.43546,0.13129315,0.013769546,1.2386147E-13,1.2990137E-14,107.88454,10.150522,1629.3536,true,0.064285,0.2887,0.013425904429895491,11.662715,3.661338,1,136.84716796875,-1.2026537656784058,0.2506999969482422,5.0,1.7293716128735768,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.0,5.109653490623728E-4,0.0019161200589838982,1.0,1.0,-99.9000015258789,-99.9,0.1926531217210538,0.271237255406116,0.28598955536422527,0.411463,0.2930099626354269,99.900002,12.188864036857183,13.975548776630646,A
eFEDS J085901.5+010649,2757,134.75640642581055,1.113716813032654,6.153535753098684,21.590517,3.6432908,33.64856,140.37578,16.366032,0.11892447,0.013865082,1.121929E-13,1.30802665E-14,97.41758,6.7502403,1180.3776,true,0.13935,0.160475,0.01145598198114148,6.211996,2.65891,1,134.75564575195312,1.1119849681854248,0.16238999366760254,9.0,0.905715417659728,0.264798,0.2729,4.0099147937735315,2.540768332692623,0.02232111109518586,2,1.5828799174782375,3,0.0,0.0,0.0,0.003797210178431203,0.0,0.0,134.738664,1.106278,0.13048439246741655,0.20512985390870309,0.1830434931017185,0.29905499999999996,0.26925363959328,99.900002,10.062839035373914,13.72095095989868,B1
eFEDS J084146.5+045613,2796,130.44381336116896,4.936850429534909,3.7791897781439125,8.218044,2.2414825,12.105576,74.03145,10.370678,0.07965724,0.011158766,7.514834E-14,1.0527138E-14,84.988945,5.1371703,929.375,true,0.011882,0.634125,0.011073986779182067,46.349414,7.044172,1,130.4441680908203,4.9368896484375,0.6357700228691101,2.0,2.913710270260837,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.0,0.0,0.0,1.0,1.0,-99.9000015258789,-99.9,0.1917160045294159,0.30126347501452966,0.27387246665670734,0.471576,0.28355175423901013,1.396588,49.52657489073313,54.126849067390815,A
eFEDS J085509.0-003446,2810,133.78739824487047,-0.5793156928205971,3.4613029282115058,8.45066,2.0910783,9.19286,95.16991,11.994678,0.08102311,0.010211696,7.64369E-14,9.633676E-15,103.623055,6.825576,1174.6019,true,0.200309,0.18015,0.013928555756628352,4.997001,2.60536,1,133.78794860839844,-0.5798109769821167,0.17422999441623688,5.0,0.8180880082363629,0.196547,0.375,5.911704743393302,2.658806929565668,0.023976033336362803,2,1.750276092686299,3,0.0,0.0,0.0,0.0,0.0,0.0,133.800064,-0.59654,0.6133013523043369,0.5747172754958113,1.037073005299646,0.592198,0.5796582777102904,7.685211,5.247401780563758,7.4482801513716295,B1
eFEDS J083940.8+010417,2832,129.92011846262477,1.0713541832727393,5.6528899607762515,20.525888,3.5187654,27.320717,131.07364,16.295506,0.11003256,0.01367961,1.038043E-13,1.29052915E-14,84.04518,7.2568164,1191.226,true,0.01693,0.156053,0.006999067699883996,15.260605,4.122416,1,129.92262268066406,1.0743060111999512,0.15707999467849731,13.0,0.8605601830445464,0.216157,0.273653,5.007618767343402,2.9612591215534207,0.018684174658112594,2,1.5543926560957284,3,0.0,0.0,0.0,0.0,0.0,0.0,129.914897,1.066563,0.22846540506780696,0.46987505260173734,0.7703030672285165,0.265417,0.34541040128882533,7.988098,21.1544208517399,29.2997014619766,A
eFEDS J084240.8-011643,2859,130.66983980509224,-1.2786730407120699,4.0,60.0,-39999.6,18.54677,294.14456,-2.0464532E7,0.1437324,-9999.9,1.3559661E-13,9.433869E-9,16.523666,11.1432905,2046.4736,true,0.36376,0.1925,0.028646869123233446,2.17457,2.026487,1,130.71849060058594,-1.286402940750122,0.2104099988937378,3.0,1.2068480439392013,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.02467874437570572,0.0,0.017278725727702348,1.0,1.0,-99.9000015258789,-99.9,,,,,,,,,D
